year,month,rain,press,RH,temp,wind
2018,10,1.003746154,1013.852602,91.68103494,30.73070811,26.11251078
2018,11,0.323848197,1014.567789,90.75260751,29.92179645,25.09780193
2018,12,0.188704291,1015.575352,88.77039493,29.14178924,24.22998852
2019,1,0.003577541,1017.144909,86.13579654,28.64881978,25.36250664
2019,2,0.69222608,1014.435723,87.16923277,31.24444593,27.65287093
2019,3,0.924038152,1012.041126,82.72824602,32.60188749,28.88459794
2019,4,2.194535691,1010.272157,85.33982336,33.65751412,30.03170669
2019,5,6.18651336,1008.695712,91.15454006,32.13289327,27.63574324
2019,6,2.985697821,1007.430465,90.63787539,32.19518247,30.32373171
2019,7,6.107340083,1006.960762,90.28314973,31.52574896,27.38824737
2019,8,15.85102535,1006.184156,94.3166153,30.11981225,29.5790921
2019,9,8.698688485,1010.893274,93.55897517,30.06518203,28.47959455
2019,10,0.904951843,1012.987775,91.06040581,30.71711499,26.20659579
2019,11,0.140655271,1014.620507,89.44298219,29.238264,26.6131174
2019,12,0.002733744,1017.203236,88.64682134,27.86430072,22.73275841
2020,1,0.315290081,1015.659441,88.39319049,28.89872677,27.02053915
2020,2,0.028616939,1016.897385,83.86542868,29.50911739,25.80207297
2020,3,2.443431028,1012.316741,87.73222836,31.55519147,27.4577526
2020,4,1.786437265,1013.213375,85.12955383,32.07565109,28.92817613
2020,5,5.682274906,1009.237928,87.64172672,33.25682402,27.99905727
2020,6,4.157687553,1008.076856,91.76149357,31.75167338,28.95886936
2020,7,5.947332637,1007.860704,93.01562132,31.72663688,27.02455376
2020,8,9.091830392,1007.169121,95.41493763,30.09337145,29.28470494
2020,9,6.888914485,1009.073966,95.88907891,30.50716742,28.36554144
2020,10,5.937936694,1010.336899,95.1074908,27.91994221,25.26731364
2020,11,0.104760507,1015.033385,90.852144,28.85087882,26.35784199
2020,12,0.003013626,1016.330453,89.52005459,27.30399294,22.38584289
2021,1,0,1017.066019,88.21989419,26.39092471,23.52491925
2021,2,1.1544068,1015.05173,88.50317822,29.04725936,25.33781942
2021,3,1.626017725,1012.536095,87.21195141,31.36183442,27.84854875
2021,4,4.863872634,1011.420808,89.75521734,31.77806207,26.40849027
2021,5,3.998636758,1008.971982,91.83457776,32.33632085,27.21911742
